country,population,world_percentage,date,source
World,8232000000,100%,13 Jun 2025,UN projection [ 1 ] [ 3 ]
India,1429404000,17.3%,1 Jul 2026,Official projection [ 4 ]
China,1404890000,17.0%,31 Dec 2025,Official estimate [ 5 ]
United States,341784857,4.1%,1 Jul 2025,Official estimate [ 6 ]
Indonesia,288315089,3.5%,31 Dec 2025,National annual projection [ 7 ]
Pakistan,241499431,2.9%,1 Mar 2023,2023 census result [ 8 ]
Nigeria,223800000,2.7%,1 Jul 2023,Official projection [ 9 ]
Brazil,214211951,2.6%,1 Jul 2026,Official estimate [ 10 ]
Bangladesh,169828911,2.1%,14 Jun 2022,2022 census result [ 11 ]
Russia,146028325,1.8%,1 Jan 2025,Official estimate [ 13 ]
Mexico,131231919,1.6%,30 Jun 2026,National quarterly estimate [ 14 ]
Japan,122680000,1.5%,1 Aug 2026,Monthly national estimate [ 15 ]
Democratic Republic of the Congo,116452162,1.4%,1 Jul 2026,UN projection [ 16 ]
Philippines,114849400,1.4%,1 Jul 2026,Official projection [ 17 ]
Ethiopia,111652998,1.4%,1 Jul 2025,National annual projection [ 18 ]
Egypt,108613296,1.3%,1 Jan 2026,Official estimate [ 19 ]
Vietnam,102300000,1.2%,31 Dec 2025,Official estimate [ 20 ]
Iran,87134000,1.1%,21 Mar 2026,Official estimate [ 21 ]
Turkey,86092168,1.0%,31 Dec 2025,Official estimate [ 22 ]
Germany,83467117,1.0%,31 Dec 2025,National quarterly estimate [ 23 ]
Thailand,70250751,0.8%,2025,Preliminary census results [ 24 ]
Tanzania,70038850,0.8%,1 Jul 2026,Official projection [ 25 ]
United Kingdom,69487000,0.8%,30 Jun 2025,Official estimate [ 26 ]
France,69081996,0.8%,1 Jan 2026,Yearly national estimate [ 27 ]
South Africa,63522380,0.8%,30 Jun 2026,Official estimate [ 28 ]
Italy,58943673,0.7%,30 Jun 2026,Monthly national estimate [ 29 ]
Kenya,54227015,0.7%,1 Jul 2026,Official projection [ 30 ]
Colombia,53399171,0.6%,1 Jan 2026,Official projection [ 31 ]
Sudan,53282719,0.6%,1 Jul 2026,UN projection [ 32 ]
Myanmar,51375327,0.6%,15 Oct 2024,2024 census result [ 33 ]
South Korea,51088284,0.6%,31 Jul 2026,Monthly national estimate [ 35 ]
Spain,49801559,0.6%,1 Jul 2026,National quarterly estimate [ 36 ]
Algeria,47400000,0.6%,1 Jan 2025,National annual projection [ 37 ]
Argentina,46466688,0.6%,1 Jul 2026,National annual projection [ 38 ]
Iraq,46118793,0.6%,21 Nov 2024,2024 census result [ 39 ]
Uganda,45905417,0.6%,10 May 2024,2024 census result [ 40 ]
Afghanistan,43844000,0.5%,1 Jul 2025,UN projection [ 41 ] [ 42 ] (see note)
Canada,41417056,0.5%,1 Apr 2026,National quarterly estimate [ 49 ]
Uzbekistan,39047321,0.5%,15 Jan 2026,2026 census result [ 50 ]
Angola,38778554,0.5%,1 Jan 2026,National estimate [ 51 ]
Morocco,37254695,0.5%,1 Jul 2026,National annual projection [ 52 ]
Poland,37243000,0.5%,30 Jun 2026,Monthly national estimate [ 53 ]
Saudi Arabia,35300280,0.4%,1 Jul 2024,Official estimate [ 54 ]
Mozambique,34958973,0.4%,1 Jul 2026,National annual projection [ 55 ]
Malaysia,34389400,0.4%,30 Jun 2026,National quarterly estimate [ 56 ]
Ghana,34378768,0.4%,1 Jul 2026,National annual projection [ 57 ]
Peru,34157732,0.4%,4 Aug 2025,Census 2025 [ 58 ]
Ivory Coast,33293101,0.4%,1 Jul 2026,National annual projection [ 59 ]
Yemen,32684503,0.4%,1 Jul 2023,Official estimate [ 60 ]
Madagascar,32658977,0.4%,1 Jul 2026,National annual projection [ 61 ]
Nepal,30034040,0.4%,1 Jul 2026,National annual projection [ 62 ]
Cameroon,29442327,0.4%,1 Jul 2025,National annual projection [ 63 ]
Ukraine,28700000,0.3%,1 Sep 2025,State migration service [ 64 ]
Venezuela,28633711,0.3%,1 Jul 2026,UN projection [ 65 ]
Australia,27801023,0.3%,31 Dec 2025,Official projection [ 66 ]
Niger,27522750,0.3%,1 Jul 2025,National annual projection [ 67 ]
Syria,26472497,0.3%,1 Jul 2026,Monthly estimate [ 68 ]
North Korea,25950000,0.3%,1 Jul 2024,National annual projection [ 69 ]
Burkina Faso,24736828,0.3%,1 Jul 2026,Official projection [ 70 ]
Mali,23929000,0.3%,1 Jul 2024,Official projection [ 71 ]
Taiwan,23224721,0.3%,31 Aug 2026,Official estimate [ 72 ]
Zambia,23003214,0.3%,1 Jul 2026,Official estimate [ 73 ]
Sri Lanka,21756000,0.3%,1 Jul 2025,Official estimate [ 74 ]
Malawi,21201635,0.3%,1 Jul 2026,National annual projection [ 75 ]
Kazakhstan,20604819,0.2%,1 Aug 2026,Official estimate [ 76 ]
Somalia,20305907,0.2%,1 Jul 2026,UN projection [ 32 ]
Chile,20150948,0.2%,30 Jun 2026,National annual projection [ 77 ]
Chad,20031602,0.2%,1 Jul 2026,National annual projection [ 78 ]
Senegal,19575061,0.2%,1 Jul 2026,National annual projection [ 79 ]
Romania,19041322,0.2%,1 Jan 2026,Official estimate [ 80 ]
Guatemala,18312373,0.2%,1 Jul 2026,National annual projection [ 81 ]
Ecuador,18243816,0.2%,1 Jul 2026,National annual projection [ 82 ]
Netherlands,18153271,0.2%,31 Jul 2026,Official estimate [ 83 ]
Cambodia,17816143,0.2%,1 Jul 2026,Official projection [ 84 ]
Guinea,17521167,0.2%,1 Jul 2025,Census July 2025 [ 85 ]
Zimbabwe,17073087,0.2%,1 Jul 2025,Official projection [ 86 ]
South Sudan,15786898,0.2%,1 Jul 2025,National annual projection [ 87 ]
Rwanda,14418145,0.2%,1 Jul 2026,National annual projection [ 88 ]
Benin,13551992,0.2%,1 Jul 2026,National annual projection [ 89 ]
Burundi,12332788,0.1%,16 Aug 2024,Preliminary census result [ 90 ]
Tunisia,11992843,0.1%,1 Jan 2026,National estimate [ 91 ]
Belgium,11942772,0.1%,1 Jul 2026,Official estimate [ 92 ]
Jordan,11937000,0.1%,31 Dec 2025,National estimate [ 93 ]
Haiti,11867032,0.1%,1 Jul 2024,National annual projection [ 94 ]
Portugal,11424031,0.1%,31 Dec 2025,Official estimate [ 95 ]
Bolivia,11365333,0.1%,23 Mar 2024,2024 census result [ 96 ]
United Arab Emirates,11294243,0.1%,31 Dec 2024,Official estimate [ 97 ]
Czech Republic,10903655,0.1%,30 Jun 2026,Official estimate [ 98 ]
Dominican Republic,10771504,0.1%,10 Nov 2022,2022 census result [ 99 ]
Tajikistan,10721000,0.1%,1 Jan 2026,Official estimate [ 100 ]
Sweden,10613531,0.1%,31 Jul 2026,Monthly national estimate [ 101 ]
Greece,10372335,0.1%,1 Jan 2025,Official estimate [ 102 ]
Israel,10305000,0.1%,31 Aug 2026,Monthly national estimate [ 103 ]
Azerbaijan,10273450,0.1%,1 Jul 2026,Monthly national estimate [ 104 ]
Honduras,10186738,0.1%,1 Jul 2026,National annual projection [ 105 ]
Papua New Guinea,10185363,0.1%,16 Jun 2024,2024 census result [ 106 ]
Hungary,9488428,0.1%,1 Jan 2026,Official estimate [ 107 ]
Cuba,9434593,0.1%,31 Dec 2025,Official estimate [ 108 ]
Sierra Leone,9270700,0.1%,1 Jul 2026,National annual projection [ 109 ]
Austria,9217573,0.1%,1 Jul 2026,National quarterly estimate [ 110 ]
Switzerland,9154896,0.1%,30 Jun 2026,National quarterly estimate [ 111 ]
Belarus,9056080,0.1%,1 Jan 2026,Official estimate [ 112 ]
Togo,8095498,0.10%,8 Nov 2022,2022 census result [ 113 ]
Laos,7745000,0.09%,1 Jul 2025,National annual projection [ 114 ]
Libya,7539852,0.09%,1 Jul 2026,UN projection [ 115 ]
Hong Kong (China),7518300,0.09%,30 Jun 2026,National estimate [ 116 ]
Kyrgyzstan,7404300,0.09%,1 Jan 2026,Monthly national estimate [ 117 ]
Turkmenistan,7057841,0.09%,17 Dec 2022,2022 census result [ 118 ]
Nicaragua,6874748,0.08%,30 Jun 2024,Official estimate [ 119 ]
Serbia,6532019,0.08%,1 Jan 2026,Official estimate [ 120 ]
Central African Republic,6470307,0.08%,1 Jul 2024,National annual projection [ 121 ]
Bulgaria,6423207,0.08%,31 Dec 2025,Official estimate [ 122 ]
Republic of the Congo,6142180,0.07%,17 May 2023,2023 census result [ 123 ]
Singapore,6110200,0.07%,30 Jun 2025,National annual projection [ 124 ]
Paraguay,6109644,0.07%,9 Nov 2022,2022 census result [ 125 ]
Denmark,6032304,0.07%,1 Aug 2026,Monthly national estimate [ 126 ]
El Salvador,6029976,0.07%,2 May 2024,2024 census result [ 127 ]
Lebanon,5895466,0.07%,2026,Official estimate [ 128 ]
Finland,5655296,0.07%,31 Jul 2026,Monthly national estimate [ 129 ]
Norway,5636904,0.07%,30 Jun 2026,National quarterly estimate [ 130 ]
Palestine,5557096,0.07%,31 Dec 2025,National annual projection [ 131 ]
Ireland,5525600,0.07%,1 Apr 2026,National estimate [ 132 ]
Slovakia,5403009,0.07%,30 Jun 2026,National quarterly estimate [ 133 ]
Oman,5398645,0.07%,30 Jun 2026,Monthly national estimate [ 134 ]
New Zealand,5357300,0.06%,30 Jun 2026,National quarterly estimate [ 135 ]
Liberia,5248621,0.06%,10 Nov 2022,2022 census result [ 136 ]
Costa Rica,5217296,0.06%,30 Jun 2026,National annual projection [ 137 ]
Mauritania,4927532,0.06%,25 Dec 2023,2023 census result [ 138 ]
Kuwait,4881254,0.06%,1 Jan 2025,Official estimate [ 139 ]
Panama,4064780,0.05%,1 Jul 2026,2023 census result [ 140 ]
Georgia,3941100,0.05%,1 Jan 2026,Official estimate [ 141 ]
Croatia,3866233,0.05%,1 Jul 2024,Official estimate [ 142 ]
Eritrea,3682669,0.04%,1 Jul 2026,UN projection [ 115 ] (see note)
Mongolia,3591120,0.04%,31 Dec 2025,National annual projection [ 149 ]
Uruguay,3480601,0.04%,30 Jun 2026,National annual projection [ 150 ]
Bosnia and Herzegovina,3412000,0.04%,1 Jul 2024,Official estimate [ 151 ]
Qatar,3370611,0.04%,31 Mar 2026,Monthly national estimate [ 152 ]
Puerto Rico (US),3184835,0.04%,1 Jul 2025,Annual projection [ 153 ]
Armenia,3096900,0.04%,1 Jan 2025,Official estimate [ 154 ]
Namibia,3022401,0.04%,24 Sep 2023,2023 Census [ 155 ]
Lithuania,2886179,0.03%,1 Jul 2026,Monthly national estimate [ 156 ]
Jamaica,2774538,0.03%,12 Sep 2022,2022 census result [ 157 ]
Gabon,2469296,0.03%,1 Jul 2025,National annual projection [ 158 ]
Gambia,2422712,0.03%,1 May 2024,Preliminary census results [ 159 ]
Moldova,2365600,0.03%,1 Jan 2026,Official estimate [ 160 ]
Botswana,2359609,0.03%,18 Mar 2022,2022 census result [ 161 ]
Albania,2335930,0.03%,1 Jan 2026,Official estimate [ 162 ]
Slovenia,2136385,0.03%,1 Apr 2026,National quarterly estimate [ 163 ]
Lesotho,2116427,0.03%,2024,Official survey [ 164 ]
Guinea-Bissau,1890252,0.02%,1 Jul 2026,National annual projection [ 165 ] [ dubious – discuss ]
Latvia,1832100,0.02%,1 Jul 2026,Monthly national estimate [ 166 ]
North Macedonia,1819074,0.02%,31 Dec 2025,Official estimate [ 167 ]
Equatorial Guinea,1668768,0.02%,1 Jul 2024,Official estimate [ 168 ]
Bahrain,1603260,0.02%,30 Jun 2025,Official estimate [ 169 ]
Kosovo,1582322,0.02%,31 Dec 2025,2024 national census [ 170 ]
Timor-Leste,1409452,0.02%,1 Jul 2026,National annual projection [ 171 ]
Trinidad and Tobago,1367764,0.02%,30 Jun 2025,Official estimate [ 172 ]
Estonia,1360745,0.02%,1 Jan 2026,Official estimate [ 173 ]
Mauritius,1240316,0.01%,30 Jun 2026,National estimate [ 174 ]
Eswatini,1235549,0.01%,1 Jul 2024,Official projection [ 175 ]
Djibouti,1066809,0.01%,20 May 2024,2024 census result [ 176 ]
Cyprus,983000,0.01%,31 Dec 2024,Official estimate [ 177 ]
Guyana,956044,0.01%,31 Dec 2024,Official estimate [ 178 ]
Comoros,944388,0.01%,2026,Official estimate [ 179 ]
Fiji,902623,0.01%,1 Jan 2026,National annual projection [ 180 ]
Bhutan,790718,0.010%,2026,National annual projection [ 181 ]
Solomon Islands,750325,0.009%,1 Jul 2024,National annual projection [ 182 ]
Luxembourg,690959,0.008%,1 Jan 2026,Official estimate [ 183 ]
Macau (China),686500,0.008%,30 Jun 2026,National quarterly estimate [ 184 ]
Montenegro,622902,0.008%,1 Jan 2026,Official estimate [ 185 ]
Suriname,616500,0.007%,1 Jul 2021,Official estimate [ 186 ]
Western Sahara (disputed),610813,0.007%,1 Jul 2026,UN projection [ 115 ]
Malta,588254,0.007%,31 Dec 2025,Official estimate [ 187 ]
Maldives,515132,0.006%,13 Sep 2022,2022 census result [ 188 ]
Cape Verde,491233,0.006%,16 Jun 2021,2021 census result [ 189 ]
Northern Cyprus,476214,0.006%,31 Dec 2023,Official projection [ 190 ]
Brunei,458600,0.006%,1 Jul 2025,Official estimate [ 191 ]
Belize,418982,0.005%,1 Jul 2026,Official estimate [ 192 ]
Bahamas,398165,0.005%,4 Apr 2022,2022 census result [ 193 ]
